iter	Passed	Remaining
267	17797	81816
268	17868	81770
269	17932	81691
270	17997	81618
271	18065	81562
272	18129	81481
273	18192	81401
274	18256	81324
275	18323	81261
276	18387	81183
277	18448	81092
278	18512	81015
279	18578	80948
280	18642	80873
281	18714	80832
282	18793	80819
283	18863	80765
284	18924	80678
285	18986	80591
286	19049	80513
287	19113	80436
288	19176	80356
289	19242	80289
290	19306	80210
291	19368	80125
292	19431	80048
293	19498	79983
294	19561	79905
295	19625	79827
296	19689	79754
297	19765	79726
298	19831	79659
299	19896	79584
300	19959	79507
301	20025	79440
302	20097	79396
303	20171	79359
304	20241	79308
305	20315	79269
306	20393	79248
307	20471	79226
308	20556	79230
309	20635	79215
310	20720	79218
311	20819	79274
312	20897	79249
313	20971	79209
314	21042	79161
315	21109	79094
316	21177	79030
317	21242	78956
318	21306	78879
319	21370	78804
320	21444	78762
321	21531	78769
322	21610	78747
323	21694	78742
324	21774	78723
325	21854	78702
326	21937	78693
327	22013	78659
328	22087	78615
329	22164	78582
330	22243	78557
331	22323	78537
332	22401	78505
333	22471	78447
334	22541	78390
335	22616	78350
336	22687	78295
337	22765	78265
338	22842	78229
339	22908	78159
340	22975	78089
341	23041	78018
342	23106	77941
343	23168	77858
344	23233	77780
345	23299	77709
346	23366	77640
347	23428	77555
348	23492	77477
349	23553	77390
350	23617	77312
351	23683	77241
352	23753	77181
353	23818	77106
354	23883	77031
355	23955	76980
356	24032	76945
357	24100	76880
358	24164	76801
359	24228	76723
360	24290	76640
361	24357	76570
362	24421	76493
363	24485	76414
364	24548	76336
365	24613	76260
366	24684	76207
367	24757	76154
368	24824	76089
369	24889	76012
370	24952	75932
371	25016	75857
372	25083	75787
373	25148	75714
374	25211	75635
375	25276	75561
376	25341	75487
377	25406	75412
378	25470	75335
379	25536	75264
380	25600	75190
381	25666	75118
382	25734	75053
383	25797	74975
384	25862	74900
385	25924	74819
386	25996	74765
387	26079	74742
388	26145	74673
389	26209	74595
390	26273	74519
391	26339	74449
392	26406	74381
393	26470	74304
394	26537	74237
395	26603	74166
396	26670	74099
397	26749	74064
398	26813	73989
399	26875	73908
400	26939	73830
401	27004	73758
402	27068	73682
403	27133	73611
404	27198	73536
405	27264	73466
406	27329	73394
407	27393	73317
408	27457	73243
409	27524	73174
410	27587	73097
411	27651	73021
412	27727	72977
413	27800	72925
414	27864	72849
415	27928	72774
416	27998	72714
417	28070	72660
418	28140	72600
419	28209	72538
420	28277	72473
421	28346	72410
422	28411	72339
423	28476	72266
424	28543	72198
425	28606	72119
426	28670	72045
427	28740	71986
428	28803	71908
429	28867	71832
430	28929	71753
431	28993	71678
432	29055	71598
433	29125	71538
434	29201	71492
435	29267	71423
436	29332	71349
437	29398	71281
438	29466	71217
439	29532	71147
440	29596	71072
441	29662	71001
442	29733	70943
443	29796	70867
444	29858	70787
445	29922	70714
446	29989	70645
447	30050	70564
448	30114	70491
449	30177	70414
450	30242	70343
451	30307	70270
452	30370	70194
453	30434	70121
454	30500	70050
455	30567	69984
456	30633	69914
457	30720	69892
458	30791	69834
459	30855	69760
460	30918	69685
461	30981	69607
462	31043	69529
463	31104	69448
464	31166	69369
465	31228	69291
466	31291	69217
467	31356	69145
468	31421	69074
469	31488	69006
470	31551	68930
471	31615	68856
472	31699	68827
473	31767	68763
474	31832	68692
475	31897	68619
476	31962	68549
477	32030	68483
478	32096	68414
479	32160	68340
480	32224	68268
481	32289	68196
482	32351	68119
483	32414	68042
484	32479	67971
485	32540	67892
486	32602	67815
487	32671	67752
488	32734	67677
489	32796	67601
490	32860	67527
491	32943	67492
492	33016	67439
493	33081	67368
494	33147	67298
495	33209	67221
496	33270	67144
497	33335	67071
498	33397	66996
499	33458	66917
500	33521	66842
501	33586	66770
502	33660	66718
503	33728	66654
504	33790	66577
505	33854	66504
506	33915	66425
507	33977	66349
508	34041	66277
509	34104	66203
510	34165	66125
511	34227	66048
512	34289	65971
513	34353	65900
514	34415	65823
515	34477	65747
516	34538	65669
517	34603	65600
518	34676	65543
519	34747	65484
520	34811	65414
521	34873	65338
522	34937	65265
523	34998	65188
524	35061	65113
525	35124	65041
526	35188	64968
527	35251	64894
528	35315	64822
529	35376	64746
530	35440	64673
531	35502	64598
532	35565	64524
533	35629	64453
534	35709	64410
535	35776	64344
536	35838	64269
537	35901	64196
538	35964	64121
539	36034	64061
540	36105	64002
541	36178	63946
542	36247	63884
543	36317	63821
544	36385	63758
545	36458	63702
546	36527	63639
547	36595	63574
548	36666	63515
549	36739	63459
550	36809	63398
551	36879	63336
552	36953	63282
553	37037	63244
554	37101	63172
555	37163	63097
556	37227	63026
557	37293	62957
558	37367	62903
559	37450	62862
560	37526	62811
561	37603	62762
562	37688	62725
563	37769	62681
564	37849	62635
565	37921	62576
566	37995	62521
567	38069	62466
568	38144	62412
569	38221	62361
570	38294	62304
571	38362	62237
572	38437	62184
573	38508	62123
574	38576	62058
575	38650	62001
576	38721	61941
577	38788	61874
578	38855	61805
579	38918	61733
580	38987	61669
581	39061	61612
582	39127	61544
583	39193	61474
584	39256	61400
585	39319	61327
586	39382	61253
587	39445	61181
588	39510	61111
589	39585	61055
590	39656	60993
591	39719	60921
592	39783	60849
593	39854	60788
594	39922	60722
595	39986	60651
596	40047	60574
597	40116	60510
598	40185	60446
599	40252	60378
600	40319	60311
601	40384	60241
602	40453	60177
603	40523	60114
604	40591	60048
605	40674	60004
606	40746	59944
607	40827	59897
608	40890	59825
609	40958	59759
610	41032	59701
611	41099	59634
612	41165	59565
613	41233	59499
614	41305	59439
615	41373	59373
616	41443	59310
617	41513	59247
618	41588	59191
619	41675	59152
620	41747	59091
621	41816	59027
622	41884	58960
623	41953	58896
624	42019	58826
625	42086	58760
626	42154	58693
627	42222	58627
628	42292	58564
629	42362	58500
630	42427	58429
631	42497	58366
632	42565	58300
633	42638	58241
634	42710	58179
635	42778	58113
636	42845	58046
637	42908	57973
638	42977	57908
639	43061	57864
640	43146	57820
641	43219	57760
642	43291	57699
643	43358	57631
644	43427	57567
645	43508	57517
646	43594	57475
647	43680	57431
648	43749	57366
649	43859	57354
650	43947	57313
651	44013	57244
652	44076	57171
653	44146	57106
654	44215	57040
655	44278	56968
656	44350	56905
657	44419	56840
658	44483	56768
659	44557	56709
660	44629	56647
661	44711	56598
662	44785	56538
663	44855	56475
664	44920	56404
665	44987	56335
666	45058	56272
667	45127	56206
668	45189	56132
669	45255	56063
670	45320	55992
671	45383	55919
672	45445	55845
673	45507	55770
674	45573	55700
675	45654	55649
676	45719	55579
677	45783	55507
678	45850	55439
679	45916	55369
680	45979	55297
681	46045	55227
682	46108	55155
683	46171	55081
684	46233	55008
685	46304	54944
686	46373	54878
687	46435	54804
688	46502	54736
689	46571	54671
690	46655	54622
691	46721	54553
692	46783	54479
693	46848	54409
694	46910	54335
695	46974	54263
696	47045	54199
697	47110	54130
698	47177	54061
699	47242	53991
700	47307	53920
701	47372	53851
702	47440	53783
703	47503	53710
704	47566	53639
705	47646	53585
706	47716	53520
707	47778	53446
708	47842	53375
709	47903	53301
710	47969	53231
711	48035	53162
712	48100	53093
713	48163	53020
714	48225	52947
715	48287	52873
716	48351	52802
717	48412	52728
718	48479	52659
719	48546	52591
720	48623	52534
721	48690	52467
722	48758	52400
723	48821	52328
724	48885	52256
725	48947	52183
726	49010	52111
727	49073	52038
728	49137	51968
729	49200	51896
730	49261	51822
731	49323	51749
732	49388	51679
733	49451	51607
734	49514	51535
735	49582	51468
736	49662	51414
737	49731	51348
738	49797	51279
739	49862	51210
740	49927	51140
741	49989	51067
742	50052	50995
743	50116	50924
744	50179	50852
745	50241	50780
746	50302	50706
747	50365	50634
748	50429	50563
749	50491	50491
750	50556	50421
751	50634	50365
752	50706	50302
753	50767	50229
754	50830	50157
755	50895	50087
756	50958	50015
757	51023	49946
758	51085	49873
759	51146	49800
760	51212	49731
761	51274	49659
762	51335	49586
763	51396	49512
764	51461	49443
765	51523	49371
766	51598	49310
767	51632	49212
768	51701	49146
769	51764	49075
770	51829	49005
771	51891	48934
772	51960	48868
773	52032	48805
774	52100	48739
775	52174	48678
776	52246	48615
777	52315	48550
778	52385	48484
779	52458	48423
780	52530	48360
781	52604	48299
782	52673	48233
783	52744	48169
784	52815	48105
785	52885	48040
786	52956	47977
787	53034	47919
788	53097	47848
789	53160	47776
790	53223	47706
791	53304	47651
792	53382	47592
793	53464	47538
794	53540	47479
795	53619	47422
796	53705	47371
797	53785	47315
798	53856	47250
799	53927	47186
800	54002	47126
801	54079	47066
802	54150	47002
803	54220	46937
804	54283	46865
805	54356	46803
806	54429	46740
807	54490	46668
808	54562	46604
809	54641	46546
810	54710	46480
811	54772	46407
812	54835	46337
813	54901	46268
814	54964	46197
815	55026	46124
816	55086	46051
817	55150	45981
818	55212	45909
819	55275	45838
820	55337	45766
821	55401	45696
822	55467	45627
823	55530	45556
824	55607	45496
825	55678	45432
826	55739	45359
827	55802	45289
828	55865	45218
829	55928	45146
830	55990	45075
831	56052	45003
832	56120	44937
833	56180	44863
834	56243	44793
835	56305	44721
836	56371	44652
837	56434	44582
838	56497	44510
839	56568	44446
840	56643	44385
841	56707	44315
842	56769	44243
843	56830	44171
844	56893	44100
845	56957	44030
846	57019	43959
847	57083	43889
848	57147	43820
849	57209	43748
850	57271	43677
851	57333	43605
852	57398	43536
853	57461	43466
854	57523	43394
855	57600	43334
856	57669	43268
857	57733	43198
858	57795	43127
859	57859	43058
860	57922	42987
861	57985	42917
862	58046	42845
863	58109	42775
864	58172	42704
865	58234	42633
866	58294	42561
867	58360	42492
868	58424	42423
869	58485	42351
870	58555	42286
871	58631	42225
872	58699	42158
873	58760	42087
874	58823	42017
875	58888	41948
876	58952	41878
877	59013	41807
878	59076	41736
879	59139	41666
880	59202	41596
881	59265	41525
882	59325	41454
883	59390	41385
884	59454	41316
885	59516	41245
886	59593	41184
887	59666	41121
888	59728	41050
889	59790	40979
890	59853	40910
891	59917	40840
892	59980	40770
893	60042	40699
894	60104	40629
895	60168	40560
896	60230	40489
897	60294	40420
898	60356	40349
899	60419	40279
900	60483	40210
901	60551	40144
902	60626	40082
903	60692	40014
904	60754	39943
905	60817	39873
906	60880	39803
907	60942	39733
908	61004	39663
909	61067	39593
910	61129	39522
911	61192	39452
912	61254	39382
913	61316	39312
914	61381	39244
915	61443	39173
916	61508	39105
917	61575	39038
918	61640	38969
919	61702	38899
920	61772	38833
921	61850	38774
922	61914	38704
923	61974	38633
924	62038	38564
925	62105	38497
926	62174	38431
927	62240	38363
928	62304	38295
929	62373	38229
930	62436	38159
931	62500	38090
932	62578	38030
933	62644	37962
934	62708	37893
935	62774	37825
936	62837	37756
937	62918	37697
938	63005	37642
939	63093	37587
940	63176	37529
941	63258	37471
942	63339	37412
943	63406	37345
944	63473	37278
945	63549	37216
946	63623	37152
947	63690	37085
948	63754	37016
949	63816	36946
950	63878	36876
951	63942	36807
952	64007	36739
953	64070	36669
954	64132	36599
955	64200	36532
956	64262	36462
957	64326	36393
958	64387	36323
959	64454	36255
960	64521	36188
961	64598	36126
962	64665	36059
963	64727	35989
964	64789	35919
965	64853	35850
966	64918	35782
967	64986	35715
968	65048	35646
969	65109	35575
970	65173	35506
971	65233	35435
972	65295	35365
973	65360	35297
974	65424	35228
975	65488	35159
976	65571	35101
977	65656	35043
978	65733	34981
979	65809	34919
980	65883	34855
981	65954	34790
982	66018	34721
983	66082	34652
984	66156	34589
985	66224	34522
986	66286	34453
987	66347	34382
988	66412	34314
989	66484	34249
990	66552	34183
991	66616	34113
992	66681	34045
993	66742	33975
994	66804	33905
995	66880	33843
996	66952	33778
997	67026	33714
998	67089	33645
999	67151	33575
1000	67214	33506
1001	67277	33437
1002	67345	33370
1003	67417	33305
1004	67482	33237
1005	67555	33173
1006	67622	33106
1007	67685	33037
1008	67751	32969
1009	67817	32901
1010	67887	32835
1011	67957	32770
1012	68031	32706
1013	68112	32645
1014	68181	32579
1015	68252	32514
1016	68324	32449
1017	68400	32386
1018	68476	32323
1019	68549	32258
1020	68621	32193
1021	68690	32127
1022	68770	32066
1023	68847	32003
1024	68934	31945
1025	68999	31876
1026	69075	31813
1027	69142	31746
1028	69206	31677
1029	69280	31613
1030	69370	31556
1031	69454	31496
1032	69544	31439
1033	69620	31376
1034	69717	31322
1035	69796	31260
1036	69869	31195
1037	69952	31134
1038	70037	31075
1039	70115	31012
1040	70192	30949
1041	70257	30880
1042	70332	30816
1043	70417	30757
1044	70488	30691
1045	70572	30630
1046	70644	30565
1047	70720	30501
1048	70787	30433
1049	70859	30368
1050	70936	30304
1051	71010	30240
1052	71076	30172
1053	71149	30107
1054	71223	30042
1055	71301	29979
1056	71366	29910
1057	71432	29842
1058	71504	29776
1059	71576	29710
1060	71644	29643
1061	71709	29575
1062	71775	29506
1063	71840	29438
1064	71907	29370
1065	71969	29300
1066	72033	29231
1067	72099	29164
1068	72162	29094
1069	72225	29025
1070	72298	28959
1071	72370	28894
1072	72437	28826
1073	72510	28761
1074	72591	28698
1075	72655	28630
1076	72717	28560
1077	72786	28493
1078	72850	28424
1079	72913	28355
1080	72977	28286
1081	73049	28220
1082	73114	28152
1083	73177	28082
1084	73250	28017
1085	73327	27953
1086	73392	27885
1087	73453	27815
1088	73525	27749
1089	73606	27686
1090	73673	27619
1091	73751	27555
1092	73824	27489
1093	73888	27421
1094	73951	27351
1095	74015	27283
1096	74080	27214
1097	74144	27145
1098	74210	27077
1099	74279	27010
1100	74343	26941
1101	74405	26872
1102	74472	26804
1103	74539	26737
1104	74604	26668
1105	74667	26599
1106	74732	26530
1107	74800	26463
1108	74878	26399
1109	74959	26337
1110	75025	26268
1111	75088	26199
1112	75151	26130
1113	75217	26062
1114	75281	25994
1115	75343	25924
1116	75404	25854
1117	75475	25788
1118	75544	25721
1119	75610	25653
1120	75676	25585
1121	75739	25516
1122	75806	25448
1123	75882	25384
1124	75959	25319
1125	76034	25254
1126	76111	25190
1127	76187	25125
1128	76258	25059
1129	76321	24990
1130	76385	24921
1131	76459	24856
1132	76538	24792
1133	76615	24727
1134	76682	24659
1135	76743	24590
1136	76807	24521
1137	76868	24452
1138	76932	24383
1139	76998	24315
1140	77071	24249
1141	77140	24182
1142	77204	24113
1143	77268	24045
1144	77330	23975
1145	77392	23906
1146	77456	23838
1147	77547	23777
1148	77620	23711
1149	77684	23643
1150	77747	23574
1151	77808	23504
1152	77869	23435
1153	77933	23366
1154	77998	23298
1155	78070	23232
1156	78135	23163
1157	78199	23095
1158	78262	23026
1159	78326	22957
1160	78390	22889
1161	78453	22820
1162	78518	22752
1163	78580	22682
1164	78643	22614
1165	78711	22546
1166	78785	22481
1167	78852	22413
1168	78914	22344
1169	78975	22275
1170	79036	22205
1171	79103	22138
1172	79164	22068
1173	79226	21999
1174	79289	21931
1175	79352	21862
1176	79415	21793
1177	79492	21728
1178	79560	21661
1179	79623	21592
1180	79686	21524
1181	79749	21455
1182	79813	21387
1183	79874	21317
1184	79936	21248
1185	79999	21180
1186	80063	21112
1187	80126	21043
1188	80186	20973
1189	80247	20904
1190	80309	20836
1191	80373	20767
1192	80436	20699
1193	80516	20634
1194	80590	20569
1195	80651	20500
1196	80712	20431
1197	80777	20362
1198	80839	20294
1199	80902	20225
1200	80967	20157
1201	81029	20088
1202	81091	20020
1203	81153	19951
1204	81217	19883
1205	81278	19814
1206	81341	19745
1207	81404	19677
1208	81474	19610
1209	81537	19542
1210	81602	19473
1211	81668	19406
1212	81747	19341
1213	81812	19273
1214	81874	19205
1215	81935	19136
1216	81999	19068
1217	82061	18999
1218	82124	18931
1219	82187	18862
1220	82251	18794
1221	82312	18725
1222	82373	18656
1223	82438	18589
1224	82513	18523
1225	82577	18455
1226	82639	18386
1227	82702	18318
1228	82763	18249
1229	82827	18181
1230	82889	18113
1231	82952	18044
1232	83013	17976
1233	83076	17907
1234	83140	17839
1235	83205	17772
1236	83267	17703
1237	83328	17635
1238	83389	17566
1239	83469	17501
1240	83539	17434
1241	83600	17366
1242	83664	17298
1243	83726	17229
1244	83788	17161
1245	83856	17094
1246	83927	17027
1247	83997	16960
1248	84065	16893
1249	84139	16827
1250	84210	16761
1251	84283	16695
1252	84354	16628
1253	84426	16562
1254	84502	16496
1255	84582	16431
1256	84652	16364
1257	84723	16298
1258	84791	16231
1259	84853	16162
1260	84918	16094
1261	84979	16026
1262	85041	15957
1263	85111	15891
1264	85191	15826
1265	85263	15759
1266	85343	15694
1267	85424	15629
1268	85518	15567
1269	85605	15503
1270	85678	15436
1271	85753	15370
1272	85826	15304
1273	85900	15238
1274	85973	15171
1275	86047	15105
1276	86117	15038
1277	86180	14970
1278	86250	14903
1279	86323	14836
1280	86388	14768
1281	86465	14703
1282	86539	14636
1283	86605	14569
1284	86669	14501
1285	86733	14433
1286	86797	14365
1287	86858	14296
1288	86921	14228
1289	86983	14160
1290	87048	14092
1291	87112	14024
1292	87175	13956
1293	87236	13887
1294	87302	13820
1295	87365	13752
1296	87436	13685
1297	87513	13619
1298	87578	13551
1299	87639	13482
1300	87708	13415
1301	87778	13348
1302	87848	13281
1303	87916	13214
1304	87988	13147
1305	88061	13081
1306	88128	13013
1307	88191	12945
1308	88255	12877
1309	88317	12809
1310	88379	12741
1311	88446	12673
1312	88511	12605
1313	88571	12537
1314	88633	12469
1315	88704	12402
1316	88781	12336
1317	88845	12268
1318	88907	12200
1319	88968	12132
1320	89029	12063
1321	89091	11995
1322	89157	11928
1323	89219	11860
1324	89280	11791
1325	89342	11723
1326	89409	11656
1327	89484	11589
1328	89549	11522
1329	89610	11453
1330	89675	11386
1331	89735	11318
1332	89798	11250
1333	89859	11181
1334	89924	11114
1335	89987	11046
1336	90048	10978
1337	90112	10910
1338	90178	10842
1339	90241	10775
1340	90305	10707
1341	90368	10639
1342	90434	10572
1343	90499	10504
1344	90560	10436
1345	90628	10369
1346	90708	10303
1347	90771	10235
1348	90833	10167
1349	90894	10099
1350	90957	10031
1351	91020	9963
1352	91084	9896
1353	91148	9828
1354	91212	9760
1355	91273	9692
1356	91339	9625
1357	91405	9557
1358	91480	9491
1359	91546	9423
1360	91609	9356
1361	91672	9288
1362	91734	9220
1363	91798	9152
1364	91861	9085
1365	91922	9017
1366	91984	8949
1367	92049	8881
1368	92111	8814
1369	92175	8746
1370	92240	8679
1371	92301	8611
1372	92363	8543
1373	92429	8476
1374	92495	8408
1375	92558	8341
1376	92624	8273
1377	92699	8207
1378	92768	8139
1379	92830	8072
1380	92891	8004
1381	92953	7936
1382	93018	7869
1383	93083	7801
1384	93145	7734
1385	93207	7666
1386	93271	7598
1387	93331	7531
1388	93396	7463
1389	93470	7396
1390	93533	7329
1391	93596	7261
1392	93656	7194
1393	93722	7126
1394	93785	7059
1395	93846	6991
1396	93907	6923
1397	93970	6856
1398	94031	6788
1399	94092	6720
1400	94155	6653
1401	94219	6585
1402	94281	6518
1403	94344	6450
1404	94413	6383
1405	94488	6317
1406	94556	6250
1407	94619	6182
1408	94681	6114
1409	94744	6047
1410	94807	5980
1411	94869	5912
1412	94931	5845
1413	94995	5777
1414	95058	5710
1415	95119	5642
1416	95181	5575
1417	95246	5507
1418	95310	5440
1419	95371	5373
1420	95454	5306
1421	95520	5239
1422	95582	5172
1423	95644	5104
1424	95707	5037
1425	95769	4969
1426	95832	4902
1427	95895	4835
1428	95959	4767
1429	96020	4700
1430	96082	4632
1431	96144	4565
1432	96208	4498
1433	96271	4430
1434	96331	4363
1435	96399	4296
1436	96475	4229
1437	96543	4162
1438	96606	4095
1439	96668	4027
1440	96731	3960
1441	96794	3893
1442	96856	3825
1443	96919	3758
1444	96981	3691
1445	97044	3624
1446	97107	3556
1447	97170	3489
1448	97231	3422
1449	97293	3354
1450	97354	3287
1451	97429	3220
1452	97492	3153
1453	97555	3086
1454	97616	3019
1455	97678	2951
1456	97740	2884
1457	97802	2817
1458	97865	2750
1459	97942	2683
1460	98022	2616
1461	98086	2549
1462	98148	2482
1463	98213	2415
1464	98278	2347
1465	98344	2280
1466	98417	2213
1467	98484	2146
1468	98549	2079
1469	98615	2012
1470	98679	1945
1471	98742	1878
1472	98809	1811
1473	98873	1744
1474	98937	1676
1475	99002	1609
1476	99067	1542
1477	99130	1475
1478	99205	1408
1479	99283	1341
1480	99355	1274
1481	99433	1207
1482	99506	1140
1483	99570	1073
1484	99635	1006
1485	99698	939
1486	99770	872
1487	99842	805
1488	99914	738
1489	99985	671
1490	100060	603
1491	100131	536
1492	100213	469
1493	100294	402
1494	100373	335
1495	100449	268
1496	100520	201
1497	100588	134
1498	100664	67
1499	100743	0
